ISD-AS,IP,Port,Payload
17-ffaa:0:1117,4016162731,62097,{"NonceB":3442458427}
17-ffaa:0:1118,2389808442,21390,{"NonceB":222231559}
17-ffaa:0:1118,2922669124,62595,{"NonceB":625504743}
17-ffaa:0:1118,2345451912,50483,{"NonceB":1283993751}
17-ffaa:0:1118,3231180257,28786,{"NonceB":2370813243}
17-ffaa:0:1118,1965024937,39317,{"NonceB":2486937368}
17-ffaa:0:1117,3173693632,32570,{"NonceB":2902776976}
17-ffaa:0:111a,2057733741,39124,{"NonceB":2335361711}
17-ffaa:0:1117,1126088586,24403,{"NonceB":4019755175}
17-ffaa:0:1117,1603692988,53530,{"NonceB":549073723}
17-ffaa:0:1118,2465905996,5795,{"NonceB":1451345756}
17-ffaa:0:111b,2457414572,37361,{"NonceB":2637513193}
17-ffaa:0:111a,3545087049,37008,{"NonceB":566626856}
17-ffaa:0:1117,916591104,60491,{"NonceB":2255222916}
17-ffaa:0:111b,1948736608,35771,{"NonceB":101992641}
17-ffaa:0:1117,304043643,17193,{"NonceB":3077704823}
17-ffaa:0:111b,609594375,27710,{"NonceB":2070672859}
17-ffaa:0:111b,2484044639,25030,{"NonceB":2474548599}
17-ffaa:0:111a,1766129414,16853,{"NonceB":2282685358}
17-ffaa:0:1118,1520309289,61942,{"NonceB":3774299961}
17-ffaa:0:1117,3036393216,57175,{"NonceB":2810656729}
17-ffaa:0:111a,2075630309,27238,{"NonceB":369546372}
17-ffaa:0:1117,2068954885,9476,{"NonceB":3154120311}
17-ffaa:0:1118,783067649,24718,{"NonceB":3523490017}
17-ffaa:0:1118,1149776177,47297,{"NonceB":3008135673}
17-ffaa:0:1118,3804608553,18841,{"NonceB":2539115952}
17-ffaa:0:1118,3596896334,14622,{"NonceB":3311837926}
17-ffaa:0:111a,2146168483,20760,{"NonceB":2035083246}
17-ffaa:0:111b,2180225123,22980,{"NonceB":3786567500}
17-ffaa:0:1118,1340929056,47948,{"NonceB":2064185100}
17-ffaa:0:1117,1108749915,35237,{"NonceB":1265833340}
17-ffaa:0:111b,2583683789,63209,{"NonceB":1563604663}
17-ffaa:0:1117,3010020915,50408,{"NonceB":1092790690}
17-ffaa:0:111b,211516270,23105,{"NonceB":1324347643}
17-ffaa:0:1117,674857736,54891,{"NonceB":3778314893}
17-ffaa:0:1118,1609597714,18586,{"NonceB":1655920506}
17-ffaa:0:1117,2645164606,39597,{"NonceB":3413077210}
17-ffaa:0:111b,2053443201,37208,{"NonceB":1599816185}
17-ffaa:0:111a,33396920,12432,{"NonceB":573147508}
17-ffaa:0:111a,311198189,18827,{"NonceB":802904490}
17-ffaa:0:111b,3258295393,60956,{"NonceB":396951171}
17-ffaa:0:111a,3274363824,55792,{"NonceB":411524161}
17-ffaa:0:111b,1999544122,29663,{"NonceB":798575613}
17-ffaa:0:111b,3773862072,30940,{"NonceB":3807927190}
17-ffaa:0:1118,1825353265,57086,{"NonceB":3651121873}
17-ffaa:0:1117,3679835679,32119,{"NonceB":3931325216}
17-ffaa:0:1118,3393601008,42058,{"NonceB":1622491330}
17-ffaa:0:1117,3716876878,25341,{"NonceB":2369763261}
17-ffaa:0:111a,1251781127,27231,{"NonceB":1408953247}
17-ffaa:0:111a,1434959510,25153,{"NonceB":335821502}
17-ffaa:0:1117,3347161803,56002,{"NonceB":974601847}
17-ffaa:0:111a,140680754,19498,{"NonceB":656375762}
17-ffaa:0:1118,1535506771,58422,{"NonceB":3705010309}
17-ffaa:0:1117,3439475628,25730,{"NonceB":3150952811}
17-ffaa:0:1118,3893755806,16039,{"NonceB":245932030}
17-ffaa:0:111a,2135439665,28937,{"NonceB":3096481852}
17-ffaa:0:111b,691343928,59729,{"NonceB":1526578839}
17-ffaa:0:1117,891309083,5969,{"NonceB":783973222}
17-ffaa:0:1118,3835193648,17475,{"NonceB":1956988314}
17-ffaa:0:1117,78397352,57827,{"NonceB":3269100809}
17-ffaa:0:1117,1115308143,40238,{"NonceB":3202435264}
17-ffaa:0:1118,4077686858,5912,{"NonceB":1045364644}
17-ffaa:0:1118,632356058,34495,{"NonceB":3313881329}
17-ffaa:0:1117,1195195254,65532,{"NonceB":2688719083}
17-ffaa:0:1117,2420868001,48414,{"NonceB":251128423}
17-ffaa:0:1117,1635016025,32650,{"NonceB":91370924}
17-ffaa:0:111a,1240311248,49431,{"NonceB":521336405}
17-ffaa:0:111a,1362434040,43083,{"NonceB":1323297758}
17-ffaa:0:1117,726069928,54439,{"NonceB":2052205400}
17-ffaa:0:111b,1678193153,26336,{"NonceB":2135113409}
17-ffaa:0:111a,1544998882,18118,{"NonceB":2852645469}
17-ffaa:0:1117,3656209623,45879,{"NonceB":4147299403}
17-ffaa:0:111a,821585132,26808,{"NonceB":1031349766}
17-ffaa:0:1117,987772106,24810,{"NonceB":1423270984}
17-ffaa:0:111b,3148502950,4800,{"NonceB":357568387}
17-ffaa:0:1117,1033515043,34515,{"NonceB":574007274}
17-ffaa:0:111a,1443714927,42582,{"NonceB":471710853}
17-ffaa:0:111a,3237715071,58840,{"NonceB":3362323912}
17-ffaa:0:111a,1333698364,37873,{"NonceB":968639099}
17-ffaa:0:111b,254538385,12049,{"NonceB":4196816668}
17-ffaa:0:111b,3175571681,9382,{"NonceB":525112585}
17-ffaa:0:1118,2278356148,40695,{"NonceB":2021750449}
17-ffaa:0:1117,3065220685,5740,{"NonceB":1344383583}
17-ffaa:0:111a,2305807237,42148,{"NonceB":3322727716}
17-ffaa:0:111a,3372733171,54147,{"NonceB":3894528640}
17-ffaa:0:111b,3695819009,64266,{"NonceB":2851598430}
17-ffaa:0:1118,415774273,27929,{"NonceB":3188388419}
17-ffaa:0:1117,3433599816,7064,{"NonceB":2393042112}
17-ffaa:0:1117,441636736,52121,{"NonceB":2366885939}
17-ffaa:0:1118,1315105724,47365,{"NonceB":136821424}
17-ffaa:0:111b,3595425840,27537,{"NonceB":2621929573}
17-ffaa:0:1117,1890144735,8910,{"NonceB":4009650808}
17-ffaa:0:1118,2433533083,5406,{"NonceB":1758747016}
17-ffaa:0:111b,1379346625,26747,{"NonceB":4272081351}
17-ffaa:0:1118,2847828994,52365,{"NonceB":3023054764}
17-ffaa:0:111a,2826126186,9542,{"NonceB":1445220411}
17-ffaa:0:111a,2415007904,49933,{"NonceB":2282992531}
17-ffaa:0:111b,2708195860,18646,{"NonceB":1126832273}
